"Plot Title: Experiment "
"#","Time, GMT-08:00","Temp, ¡ÆF","Temp, ¡ÆF","Bad Battery","Good Battery","Host Connected","Stopped","End Of File"
1,1/12/22 11:59:55 AM,74.121,74.683,,,,,
2,1/12/22 12:00:25 PM,74.250,74.813,,,,,
3,1/12/22 12:00:55 PM,74.380,74.857,,,,,
4,1/12/22 12:01:25 PM,74.424,74.943,,,,,
5,1/12/22 12:01:55 PM,74.510,75.073,,,,,
6,1/12/22 12:02:25 PM,74.553,75.073,,,,,
7,1/12/22 12:02:55 PM,74.597,75.073,,,,,
8,1/12/22 12:03:25 PM,74.640,74.987,,,,,
9,1/12/22 12:03:55 PM,74.640,74.987,,,,,
10,1/12/22 12:04:25 PM,74.640,74.943,,,,,
11,1/12/22 12:04:55 PM,74.640,74.900,,,,,
12,1/12/22 12:05:25 PM,74.640,74.857,,,,,
13,1/12/22 12:05:55 PM,74.640,74.857,,,,,
14,1/12/22 12:06:25 PM,74.640,74.857,,,,,
15,1/12/22 12:06:55 PM,74.640,74.900,,,,,
16,1/12/22 12:07:25 PM,74.640,74.857,,,,,
17,1/12/22 12:07:55 PM,74.640,74.857,,,,,
18,1/12/22 12:08:25 PM,74.683,74.857,,,,,
19,1/12/22 12:08:55 PM,74.813,74.987,Logged,,,,
20,1/12/22 12:09:25 PM,74.987,75.117,,Logged,,,
21,1/12/22 12:09:55 PM,75.160,75.160,,,,,
22,1/12/22 12:10:25 PM,75.290,75.247,,,,,
23,1/12/22 12:10:55 PM,75.420,75.333,,,,,
24,1/12/22 12:11:25 PM,75.464,75.377,,,,,
25,1/12/22 12:11:55 PM,75.507,75.377,,,,,
26,1/12/22 12:12:25 PM,75.464,75.290,,,,,
27,1/12/22 12:12:55 PM,75.464,75.203,,,,,
28,1/12/22 12:13:25 PM,75.507,75.160,,,,,
29,1/12/22 12:13:55 PM,75.464,75.160,,,,,
30,1/12/22 12:14:25 PM,75.420,75.203,,,,,
31,1/12/22 12:14:55 PM,75.377,75.203,,,,,
32,1/12/22 12:15:25 PM,75.377,75.160,,,,,
33,1/12/22 12:15:55 PM,75.377,75.073,,,,,
34,1/12/22 12:16:25 PM,75.420,75.073,,,,,
35,1/12/22 12:16:55 PM,75.507,75.073,,,,,
36,1/12/22 12:17:25 PM,75.507,75.030,,,,,
37,1/12/22 12:17:55 PM,75.507,74.987,,,,,
38,1/12/22 12:18:25 PM,75.507,74.987,,,,,
39,1/12/22 12:18:55 PM,75.550,75.073,,,,,
40,1/12/22 12:19:25 PM,75.507,75.160,,,,,
41,1/12/22 12:19:55 PM,75.550,75.117,,,,,
42,1/12/22 12:20:25 PM,75.550,75.030,,,,,
43,1/12/22 12:20:55 PM,75.550,74.987,,,,,
44,1/12/22 12:21:25 PM,75.594,74.943,,,,,
45,1/12/22 12:21:55 PM,75.550,74.987,,,,,
46,1/12/22 12:22:25 PM,75.637,75.030,,,,,
47,1/12/22 12:22:55 PM,75.550,75.073,,,,,
48,1/12/22 12:23:25 PM,75.550,75.030,,,,,
49,1/12/22 12:23:55 PM,75.550,74.987,,,,,
50,1/12/22 12:24:25 PM,75.550,74.943,,,,,
51,1/12/22 12:24:55 PM,75.507,74.943,,,,,
52,1/12/22 12:25:25 PM,75.464,74.987,,,,,
53,1/12/22 12:25:55 PM,75.507,74.987,,,,,
54,1/12/22 12:26:25 PM,75.550,74.987,,,,,
55,1/12/22 12:26:55 PM,75.550,75.030,,,,,
56,1/12/22 12:27:25 PM,75.550,75.073,,,,,
57,1/12/22 12:27:55 PM,75.550,75.073,,,,,
58,1/12/22 12:28:25 PM,75.594,74.987,,,,,
59,1/12/22 12:28:55 PM,75.550,74.943,,,,,
60,1/12/22 12:29:25 PM,75.550,74.943,,,,,
61,1/12/22 12:29:55 PM,75.550,74.987,,,,,
62,1/12/22 12:30:25 PM,75.550,75.073,,,,,
63,1/12/22 12:30:55 PM,75.507,75.160,,,,,
64,1/12/22 12:31:25 PM,75.507,75.247,,,,,
65,1/12/22 12:31:55 PM,75.464,75.247,,,,,
66,1/12/22 12:32:25 PM,75.464,75.247,,,,,
67,1/12/22 12:32:55 PM,75.507,75.117,,,,,
68,1/12/22 12:33:25 PM,75.550,75.073,,,,,
69,1/12/22 12:33:55 PM,75.550,75.117,,,,,
70,1/12/22 12:34:25 PM,75.637,75.203,,,,,
71,1/12/22 12:34:55 PM,75.637,75.117,,,,,
72,1/12/22 12:35:25 PM,75.637,74.987,,,,,
73,1/12/22 12:35:55 PM,75.594,74.900,,,,,
74,1/12/22 12:36:25 PM,75.550,74.857,,,,,
75,1/12/22 12:36:55 PM,75.594,74.900,,,,,
76,1/12/22 12:37:25 PM,75.550,74.943,,,,,
77,1/12/22 12:37:55 PM,75.550,75.030,,,,,
78,1/12/22 12:38:25 PM,75.550,75.117,,,,,
79,1/12/22 12:38:55 PM,75.550,75.073,,,,,
80,1/12/22 12:39:25 PM,75.550,75.030,,,,,
81,1/12/22 12:39:55 PM,75.550,74.943,,,,,
82,1/12/22 12:40:25 PM,75.550,74.943,,,,,
83,1/12/22 12:40:55 PM,75.550,74.987,,,,,
84,1/12/22 12:41:25 PM,75.550,74.987,,,,,
85,1/12/22 12:41:55 PM,75.550,75.030,,,,,
86,1/12/22 12:42:25 PM,75.550,75.030,,,,,
87,1/12/22 12:42:55 PM,75.550,75.160,,,,,
88,1/12/22 12:43:25 PM,75.594,75.160,,,,,
89,1/12/22 12:43:55 PM,75.637,75.117,,,,,
90,1/12/22 12:44:25 PM,75.637,75.030,,,,,
91,1/12/22 12:44:55 PM,75.637,74.943,,,,,
92,1/12/22 12:45:25 PM,75.594,74.987,,,,,
93,1/12/22 12:45:55 PM,75.550,74.987,,,,,
94,1/12/22 12:46:25 PM,75.550,75.030,,,,,
95,1/12/22 12:46:55 PM,75.594,75.117,,,,,
96,1/12/22 12:47:25 PM,75.594,75.203,,,,,
97,1/12/22 12:47:55 PM,75.550,75.160,,,,,
98,1/12/22 12:48:25 PM,75.550,75.073,,,,,
99,1/12/22 12:48:55 PM,75.550,75.030,,,,,
100,1/12/22 12:49:25 PM,75.550,75.030,,,,,
101,1/12/22 12:49:55 PM,75.507,75.073,,,,,
102,1/12/22 12:50:25 PM,75.507,75.117,,,,,
103,1/12/22 12:50:55 PM,75.507,75.160,,,,,
104,1/12/22 12:51:25 PM,75.550,75.160,,,,,
105,1/12/22 12:51:55 PM,75.550,75.160,,,,,
106,1/12/22 12:52:25 PM,75.550,75.117,,,,,
107,1/12/22 12:52:55 PM,75.550,75.073,,,,,
108,1/12/22 12:53:25 PM,75.550,75.073,,,,,
109,1/12/22 12:53:55 PM,75.637,75.160,,,,,
110,1/12/22 12:54:25 PM,75.637,75.160,,,,,
111,1/12/22 12:54:55 PM,75.637,75.073,,,,,
112,1/12/22 12:55:25 PM,75.637,75.030,,,,,
113,1/12/22 12:55:55 PM,75.637,74.943,,,,,
114,1/12/22 12:56:25 PM,75.637,74.857,,,,,
115,1/12/22 12:56:55 PM,75.594,74.857,,,,,
116,1/12/22 12:57:25 PM,75.550,74.943,,,,,
117,1/12/22 12:57:55 PM,75.594,75.030,,,,,
118,1/12/22 12:58:25 PM,75.637,75.073,,,,,
119,1/12/22 12:58:55 PM,75.681,75.030,,,,,
120,1/12/22 12:59:25 PM,75.681,74.987,,,,,
121,1/12/22 12:59:55 PM,75.637,74.943,,,,,
122,1/12/22 1:00:25 PM,75.594,74.943,,,,,
123,1/12/22 1:00:55 PM,75.594,74.987,,,,,
124,1/12/22 1:01:25 PM,75.637,75.030,,,,,
125,1/12/22 1:01:55 PM,75.637,75.117,,,,,
126,1/12/22 1:02:25 PM,75.594,75.160,,,,,
127,1/12/22 1:02:55 PM,75.594,75.203,,,,,
128,1/12/22 1:03:25 PM,75.637,75.117,,,,,
129,1/12/22 1:03:55 PM,75.594,75.160,,,,,
130,1/12/22 1:04:25 PM,75.594,75.160,,,,,
131,1/12/22 1:04:55 PM,75.550,75.160,,,,,
132,1/12/22 1:05:25 PM,75.550,75.160,,,,,
133,1/12/22 1:05:55 PM,75.550,75.160,,,,,
134,1/12/22 1:06:25 PM,75.550,75.203,,,,,
135,1/12/22 1:06:55 PM,75.594,75.247,,,,,
136,1/12/22 1:07:25 PM,75.594,75.247,,,,,
137,1/12/22 1:07:55 PM,75.594,75.247,,,,,
