"Plot Title: Experiment "
"#","Time, GMT-08:00","Temp, ¡ÆF","Temp, ¡ÆF","Host Connected","Stopped","End Of File"
1,3/7/22 12:02:49 PM,70.630,69.771,,,
2,3/7/22 12:02:54 PM,70.673,69.771,,,
3,3/7/22 12:02:59 PM,70.931,69.814,,,
4,3/7/22 12:03:04 PM,72.179,69.900,,,
5,3/7/22 12:03:09 PM,72.566,69.986,,,
6,3/7/22 12:03:14 PM,72.610,70.201,,,
7,3/7/22 12:03:19 PM,72.653,70.802,,,
8,3/7/22 12:03:24 PM,72.998,71.017,,,
9,3/7/22 12:03:29 PM,72.998,71.146,,,
10,3/7/22 12:03:34 PM,72.782,71.232,,,
11,3/7/22 12:03:39 PM,73.041,71.318,,,
12,3/7/22 12:03:44 PM,72.782,71.361,,,
13,3/7/22 12:03:49 PM,72.868,71.662,,,
14,3/7/22 12:03:54 PM,72.955,71.877,,,
15,3/7/22 12:03:59 PM,72.480,71.877,,,
16,3/7/22 12:04:04 PM,72.222,72.006,,,
17,3/7/22 12:04:09 PM,72.093,72.006,,,
18,3/7/22 12:04:14 PM,72.006,71.963,,,
19,3/7/22 12:04:19 PM,71.963,71.920,,,
20,3/7/22 12:04:24 PM,71.877,71.877,,,
21,3/7/22 12:04:29 PM,71.834,71.791,,,
22,3/7/22 12:04:34 PM,71.791,71.748,,,
23,3/7/22 12:04:39 PM,71.705,71.705,,,
24,3/7/22 12:04:44 PM,71.662,71.619,,,
25,3/7/22 12:04:49 PM,71.619,71.576,,,
26,3/7/22 12:04:54 PM,71.576,71.533,,,
27,3/7/22 12:04:59 PM,71.447,71.404,,,
28,3/7/22 12:05:04 PM,71.404,71.404,,,
29,3/7/22 12:05:09 PM,71.361,71.361,,,
30,3/7/22 12:05:14 PM,71.318,71.275,,,
31,3/7/22 12:05:19 PM,71.232,71.189,,,
32,3/7/22 12:05:24 PM,71.189,71.146,,,
33,3/7/22 12:05:29 PM,71.103,71.060,,,
34,3/7/22 12:05:34 PM,71.017,71.017,,,
35,3/7/22 12:05:39 PM,70.974,70.931,,,
36,3/7/22 12:05:44 PM,70.888,70.888,,,
37,3/7/22 12:05:49 PM,70.845,70.802,,,
38,3/7/22 12:05:54 PM,70.759,70.716,,,
39,3/7/22 12:05:59 PM,70.673,70.673,,,
40,3/7/22 12:06:04 PM,70.630,70.587,,,
41,3/7/22 12:06:09 PM,70.544,70.544,,,
42,3/7/22 12:06:14 PM,70.458,70.458,,,
43,3/7/22 12:06:19 PM,70.415,70.372,,,
44,3/7/22 12:06:24 PM,70.329,70.329,,,
45,3/7/22 12:06:29 PM,70.286,70.244,,,
46,3/7/22 12:06:34 PM,70.201,70.201,,,
47,3/7/22 12:06:39 PM,70.158,70.115,,,
48,3/7/22 12:06:44 PM,70.072,70.029,,,
49,3/7/22 12:06:49 PM,69.986,69.986,,,
50,3/7/22 12:06:54 PM,69.943,69.900,,,
51,3/7/22 12:06:59 PM,69.857,69.857,,,
52,3/7/22 12:07:04 PM,69.814,69.771,,,
53,3/7/22 12:07:09 PM,69.728,69.686,,,
54,3/7/22 12:07:14 PM,69.643,69.643,,,
55,3/7/22 12:07:19 PM,69.557,69.557,,,
56,3/7/22 12:07:24 PM,69.514,69.471,,,
57,3/7/22 12:07:29 PM,69.428,69.385,,,
58,3/7/22 12:07:34 PM,69.342,69.342,,,
59,3/7/22 12:07:39 PM,69.299,69.299,,,
60,3/7/22 12:07:44 PM,69.214,69.214,,,
61,3/7/22 12:07:49 PM,69.128,69.128,,,
62,3/7/22 12:07:54 PM,69.085,69.042,,,
63,3/7/22 12:07:59 PM,68.999,68.999,,,
64,3/7/22 12:08:04 PM,68.913,68.913,,,
65,3/7/22 12:08:09 PM,68.871,68.828,,,
66,3/7/22 12:08:14 PM,68.785,68.742,,,
67,3/7/22 12:08:19 PM,68.699,68.656,,,
68,3/7/22 12:08:24 PM,68.613,68.613,,,
69,3/7/22 12:08:29 PM,68.571,68.528,,,
70,3/7/22 12:08:34 PM,68.485,68.442,,,
71,3/7/22 12:08:39 PM,68.399,68.399,,,
72,3/7/22 12:08:44 PM,68.313,68.313,,,
73,3/7/22 12:08:49 PM,68.271,68.271,,,
74,3/7/22 12:08:54 PM,68.185,68.185,,,
75,3/7/22 12:08:59 PM,68.142,68.099,,,
76,3/7/22 12:09:04 PM,68.056,68.013,,,
77,3/7/22 12:09:09 PM,67.971,67.971,,,
78,3/7/22 12:09:14 PM,67.885,67.885,,,
79,3/7/22 12:09:19 PM,67.799,67.799,,,
80,3/7/22 12:09:24 PM,67.756,67.756,,,
81,3/7/22 12:09:29 PM,67.671,67.671,,,
82,3/7/22 12:09:34 PM,67.628,67.585,,,
83,3/7/22 12:09:39 PM,67.542,67.499,,,
84,3/7/22 12:09:44 PM,67.457,67.457,,,
85,3/7/22 12:09:49 PM,67.414,67.371,,,
86,3/7/22 12:09:54 PM,67.328,67.285,,,
87,3/7/22 12:09:59 PM,67.243,67.200,,,
88,3/7/22 12:10:04 PM,67.157,67.157,,,
89,3/7/22 12:10:09 PM,67.114,67.071,,,
90,3/7/22 12:10:14 PM,67.028,66.986,,,
91,3/7/22 12:10:19 PM,66.943,66.943,,,
92,3/7/22 12:10:24 PM,66.900,66.857,,,
93,3/7/22 12:10:29 PM,66.814,66.772,,,
94,3/7/22 12:10:34 PM,66.729,66.729,,,
95,3/7/22 12:10:39 PM,66.643,66.643,,,
96,3/7/22 12:10:44 PM,66.600,66.557,,,
97,3/7/22 12:10:49 PM,66.515,66.472,,,
98,3/7/22 12:10:54 PM,66.429,66.429,,,
99,3/7/22 12:10:59 PM,66.386,66.343,,,
100,3/7/22 12:11:04 PM,66.301,66.258,,,
101,3/7/22 12:11:09 PM,66.215,66.215,,,
102,3/7/22 12:11:14 PM,66.129,66.129,,,
103,3/7/22 12:11:19 PM,66.044,66.044,,,
104,3/7/22 12:11:24 PM,65.958,65.915,,,
105,3/7/22 12:11:29 PM,65.915,65.873,,,
106,3/7/22 12:11:34 PM,65.830,65.830,,,
107,3/7/22 12:11:39 PM,65.787,65.744,,,
108,3/7/22 12:11:44 PM,65.701,65.659,,,
109,3/7/22 12:11:49 PM,65.616,65.573,,,
110,3/7/22 12:11:54 PM,65.530,65.530,,,
111,3/7/22 12:11:59 PM,65.445,65.445,,,
112,3/7/22 12:12:04 PM,65.402,65.359,,,
