"Plot Title: Experiment "
"#","Time, GMT-08:00","Temp, ¡ÆF","Temp, ¡ÆF","Host Connected","End Of File"
1,1/9/22 11:47:37 AM,81.067,80.316,,
2,1/9/22 11:48:07 AM,80.581,80.316,,
3,1/9/22 11:48:37 AM,80.228,80.140,,
4,1/9/22 11:49:07 AM,79.964,80.052,,
5,1/9/22 11:49:37 AM,79.744,79.964,,
6,1/9/22 11:50:07 AM,79.612,79.920,,
7,1/9/22 11:50:37 AM,79.392,79.832,,
8,1/9/22 11:51:07 AM,79.304,79.744,,
9,1/9/22 11:51:37 AM,79.172,79.700,,
10,1/9/22 11:52:07 AM,79.128,79.656,,
11,1/9/22 11:52:37 AM,79.084,79.612,,
12,1/9/22 11:53:07 AM,78.997,79.568,,
13,1/9/22 11:53:37 AM,78.953,79.568,,
14,1/9/22 11:54:07 AM,78.909,79.568,,
15,1/9/22 11:54:37 AM,78.953,79.568,,
16,1/9/22 11:55:07 AM,78.909,79.524,,
17,1/9/22 11:55:37 AM,78.909,79.480,,
18,1/9/22 11:56:07 AM,78.909,79.480,,
19,1/9/22 11:56:37 AM,79.348,79.920,,
20,1/9/22 11:57:07 AM,79.656,79.920,,
21,1/9/22 11:57:37 AM,80.008,80.008,,
22,1/9/22 11:58:07 AM,80.228,80.184,,
23,1/9/22 11:58:37 AM,80.404,80.316,,
24,1/9/22 11:59:07 AM,80.492,80.404,,
25,1/9/22 11:59:37 AM,80.537,80.492,,
26,1/9/22 12:00:07 PM,80.581,80.537,,
27,1/9/22 12:00:37 PM,80.625,80.581,,
28,1/9/22 12:01:07 PM,80.669,80.625,,
29,1/9/22 12:01:37 PM,80.713,80.669,,
30,1/9/22 12:02:07 PM,80.757,80.669,,
31,1/9/22 12:02:37 PM,80.801,80.669,,
32,1/9/22 12:03:07 PM,80.757,80.669,,
33,1/9/22 12:03:37 PM,80.757,80.625,,
34,1/9/22 12:04:07 PM,80.713,80.669,,
35,1/9/22 12:04:37 PM,80.713,80.669,,
36,1/9/22 12:05:07 PM,80.713,80.713,,
37,1/9/22 12:05:37 PM,80.757,80.713,,
38,1/9/22 12:06:07 PM,80.757,80.757,,
39,1/9/22 12:06:37 PM,80.757,80.757,,
40,1/9/22 12:07:07 PM,80.757,80.757,,
41,1/9/22 12:07:37 PM,80.757,80.801,,
42,1/9/22 12:08:07 PM,80.757,80.801,,
43,1/9/22 12:08:37 PM,80.757,80.801,,
44,1/9/22 12:09:07 PM,80.757,80.801,,
45,1/9/22 12:09:37 PM,80.801,80.801,,
46,1/9/22 12:10:07 PM,80.846,80.890,,
47,1/9/22 12:10:37 PM,80.801,80.890,,
48,1/9/22 12:11:07 PM,80.801,80.801,,
49,1/9/22 12:11:37 PM,80.801,80.757,,
50,1/9/22 12:12:07 PM,80.801,80.801,,
51,1/9/22 12:12:37 PM,80.846,80.801,,
52,1/9/22 12:13:07 PM,80.846,80.801,,
53,1/9/22 12:13:37 PM,80.846,80.846,,
54,1/9/22 12:14:07 PM,80.846,80.846,,
55,1/9/22 12:14:37 PM,80.846,80.846,,
56,1/9/22 12:15:07 PM,80.846,80.846,,
57,1/9/22 12:15:37 PM,80.801,80.846,,
58,1/9/22 12:16:07 PM,80.801,80.846,,
59,1/9/22 12:16:37 PM,80.801,80.846,,
60,1/9/22 12:17:07 PM,80.801,80.890,,
61,1/9/22 12:17:37 PM,80.801,80.890,,
62,1/9/22 12:18:07 PM,80.846,80.890,,
63,1/9/22 12:18:37 PM,80.846,80.890,,
64,1/9/22 12:19:07 PM,80.846,80.934,,
65,1/9/22 12:19:37 PM,80.890,80.934,,
66,1/9/22 12:20:07 PM,80.890,80.934,,
67,1/9/22 12:20:37 PM,80.934,80.978,,
68,1/9/22 12:21:07 PM,80.934,80.978,,
69,1/9/22 12:21:37 PM,80.978,80.978,,
70,1/9/22 12:22:07 PM,80.978,80.890,,
71,1/9/22 12:22:37 PM,80.934,80.890,,
72,1/9/22 12:23:07 PM,80.934,80.890,,
73,1/9/22 12:23:37 PM,80.934,80.934,,
74,1/9/22 12:24:07 PM,80.934,80.934,,
75,1/9/22 12:24:37 PM,80.978,80.934,,
76,1/9/22 12:25:07 PM,80.934,80.890,,
77,1/9/22 12:25:37 PM,80.934,80.890,,
78,1/9/22 12:26:07 PM,80.890,80.890,,
79,1/9/22 12:26:37 PM,80.890,80.890,,
80,1/9/22 12:27:07 PM,80.890,80.890,,
81,1/9/22 12:27:37 PM,80.934,80.934,,
82,1/9/22 12:28:07 PM,80.934,80.934,,
83,1/9/22 12:28:37 PM,80.934,80.978,,
84,1/9/22 12:29:07 PM,80.978,80.978,,
85,1/9/22 12:29:37 PM,80.978,80.978,,
86,1/9/22 12:30:07 PM,80.978,80.934,,
87,1/9/22 12:30:37 PM,80.934,80.890,,
88,1/9/22 12:31:07 PM,80.934,80.934,,
89,1/9/22 12:31:37 PM,80.934,80.934,,
90,1/9/22 12:32:07 PM,80.934,80.978,,
91,1/9/22 12:32:37 PM,80.978,80.978,,
92,1/9/22 12:33:07 PM,81.022,81.022,,
93,1/9/22 12:33:37 PM,81.022,81.067,,
94,1/9/22 12:34:07 PM,80.978,80.978,,
95,1/9/22 12:34:37 PM,80.934,80.978,,
96,1/9/22 12:35:07 PM,80.978,80.978,,
97,1/9/22 12:35:37 PM,80.978,80.978,,
98,1/9/22 12:36:07 PM,80.978,81.022,,
99,1/9/22 12:36:37 PM,80.978,80.978,,
100,1/9/22 12:37:07 PM,80.978,80.934,,
101,1/9/22 12:37:37 PM,80.934,80.934,,
102,1/9/22 12:38:07 PM,80.934,80.934,,
103,1/9/22 12:38:37 PM,80.934,80.934,,
104,1/9/22 12:39:07 PM,80.934,80.934,,
105,1/9/22 12:39:37 PM,80.978,81.022,,
106,1/9/22 12:40:07 PM,80.978,81.022,,
107,1/9/22 12:40:37 PM,81.022,81.022,,
108,1/9/22 12:41:07 PM,80.978,80.978,,
109,1/9/22 12:41:37 PM,80.978,80.934,,
110,1/9/22 12:42:07 PM,80.978,80.978,,
111,1/9/22 12:42:37 PM,80.978,81.022,,
112,1/9/22 12:43:07 PM,80.978,81.022,,
113,1/9/22 12:43:37 PM,81.022,81.067,,
114,1/9/22 12:44:07 PM,80.978,81.022,,
