"Plot Title: Experiment "
"#","Time, GMT-07:00","Temp, ¡ÆF","Temp, ¡ÆF","Good Battery","Host Connected","End Of File"
1,3/23/22 3:55:08 PM,78.997,80.978,Logged,,
2,3/23/22 3:55:38 PM,79.041,81.022,,,
3,3/23/22 3:56:08 PM,78.997,81.022,,,
4,3/23/22 3:56:38 PM,78.997,80.978,,,
5,3/23/22 3:57:08 PM,79.041,80.978,,,
6,3/23/22 3:57:38 PM,79.041,80.846,,,
7,3/23/22 3:58:08 PM,79.128,80.801,,,
8,3/23/22 3:58:38 PM,79.172,80.801,,,
9,3/23/22 3:59:08 PM,79.348,80.757,,,
10,3/23/22 3:59:38 PM,79.524,80.669,,,
11,3/23/22 4:00:08 PM,79.612,80.581,,,
12,3/23/22 4:00:38 PM,79.612,80.581,,,
13,3/23/22 4:01:08 PM,79.788,80.625,,,
14,3/23/22 4:01:38 PM,80.140,80.581,,,
15,3/23/22 4:02:08 PM,80.316,80.537,,,
16,3/23/22 4:02:38 PM,80.360,80.492,,,
17,3/23/22 4:03:08 PM,80.404,80.448,,,
18,3/23/22 4:03:38 PM,80.360,80.448,,,
19,3/23/22 4:04:08 PM,80.360,80.404,,,
20,3/23/22 4:04:38 PM,80.316,80.360,,,
21,3/23/22 4:05:08 PM,80.272,80.316,,,
22,3/23/22 4:05:38 PM,80.228,80.316,,,
23,3/23/22 4:06:08 PM,80.184,80.316,,,
24,3/23/22 4:06:38 PM,80.184,80.272,,,
25,3/23/22 4:07:08 PM,80.140,80.272,,,
26,3/23/22 4:07:38 PM,80.140,80.228,,,
27,3/23/22 4:08:08 PM,80.096,80.228,,,
28,3/23/22 4:08:38 PM,80.096,80.228,,,
29,3/23/22 4:09:08 PM,80.096,80.228,,,
30,3/23/22 4:09:38 PM,80.140,80.228,,,
31,3/23/22 4:10:08 PM,80.140,80.228,,,
32,3/23/22 4:10:38 PM,80.140,80.228,,,
33,3/23/22 4:11:08 PM,80.140,80.272,,,
34,3/23/22 4:11:38 PM,80.140,80.272,,,
35,3/23/22 4:12:08 PM,80.140,80.272,,,
36,3/23/22 4:12:38 PM,80.184,80.316,,,
37,3/23/22 4:13:08 PM,80.184,80.316,,,
38,3/23/22 4:13:38 PM,80.184,80.316,,,
39,3/23/22 4:14:08 PM,80.184,80.316,,,
40,3/23/22 4:14:38 PM,80.228,80.360,,,
41,3/23/22 4:15:08 PM,80.228,80.360,,,
42,3/23/22 4:15:38 PM,80.272,80.404,,,
43,3/23/22 4:16:08 PM,80.272,80.404,,,
44,3/23/22 4:16:38 PM,80.272,80.404,,,
45,3/23/22 4:17:08 PM,80.316,80.448,,,
46,3/23/22 4:17:38 PM,80.316,80.448,,,
47,3/23/22 4:18:08 PM,80.360,80.448,,,
48,3/23/22 4:18:38 PM,80.404,80.492,,,
49,3/23/22 4:19:08 PM,80.404,80.492,,,
