"Plot Title: Experiment "
"#","Time, GMT-08:00","Temp, ¡ÆF","Temp, ¡ÆF","Good Battery","Bad Battery","End Of File"
1,2/21/22 10:20:39 AM,62.319,61.590,,,
2,2/21/22 10:21:09 AM,62.105,61.590,,,
3,2/21/22 10:21:39 AM,61.933,61.548,,,
4,2/21/22 10:22:09 AM,61.805,61.548,,,
5,2/21/22 10:22:39 AM,61.676,61.633,,,
6,2/21/22 10:23:09 AM,61.590,61.676,,,
7,2/21/22 10:23:39 AM,61.505,61.719,,,
8,2/21/22 10:24:09 AM,61.462,61.719,,,
9,2/21/22 10:24:39 AM,61.419,61.762,,,
10,2/21/22 10:25:09 AM,61.376,61.805,,,
11,2/21/22 10:25:39 AM,61.333,61.805,,,
12,2/21/22 10:26:09 AM,61.290,61.805,,,
13,2/21/22 10:26:39 AM,61.290,61.805,,,
14,2/21/22 10:27:09 AM,61.247,61.805,,,
15,2/21/22 10:27:39 AM,61.204,61.762,,,
16,2/21/22 10:28:09 AM,61.162,61.762,,,
17,2/21/22 10:28:39 AM,61.119,61.719,,,
18,2/21/22 10:29:09 AM,61.076,61.676,,,
19,2/21/22 10:29:39 AM,61.033,61.633,,,
20,2/21/22 10:30:09 AM,61.033,61.590,,,
21,2/21/22 10:30:39 AM,60.990,61.548,,,
22,2/21/22 10:31:09 AM,60.947,61.462,,,
23,2/21/22 10:31:39 AM,60.947,61.419,,,
24,2/21/22 10:32:09 AM,61.076,61.462,,,
25,2/21/22 10:32:39 AM,61.891,61.419,,,
26,2/21/22 10:33:09 AM,62.105,61.505,,,
27,2/21/22 10:33:39 AM,62.276,61.419,,,
28,2/21/22 10:34:09 AM,62.362,61.419,,,
29,2/21/22 10:34:39 AM,62.276,61.333,,,
30,2/21/22 10:35:09 AM,62.233,61.247,,,
31,2/21/22 10:35:39 AM,62.105,61.162,,,
32,2/21/22 10:36:09 AM,62.105,61.033,,,
33,2/21/22 10:36:39 AM,61.976,60.947,,,
34,2/21/22 10:37:09 AM,61.933,60.947,,,
35,2/21/22 10:37:39 AM,61.891,60.904,,,
36,2/21/22 10:38:09 AM,61.848,60.818,,,
37,2/21/22 10:38:39 AM,61.848,60.775,,,
38,2/21/22 10:39:09 AM,61.805,60.861,,,
39,2/21/22 10:39:39 AM,61.848,60.904,,,
40,2/21/22 10:40:09 AM,61.891,60.947,,,
41,2/21/22 10:40:39 AM,61.891,61.033,,,
42,2/21/22 10:41:09 AM,61.933,61.119,,,
43,2/21/22 10:41:39 AM,61.976,61.162,,,
44,2/21/22 10:42:09 AM,62.019,61.162,,,
45,2/21/22 10:42:39 AM,62.062,61.247,,,
46,2/21/22 10:43:09 AM,62.062,61.247,,,
47,2/21/22 10:43:39 AM,62.105,61.204,,,
48,2/21/22 10:44:09 AM,62.105,61.162,,,
49,2/21/22 10:44:39 AM,62.105,61.119,,,
50,2/21/22 10:45:09 AM,62.062,61.076,,,
51,2/21/22 10:45:39 AM,62.062,61.033,,,
52,2/21/22 10:46:09 AM,62.148,61.033,,,
53,2/21/22 10:46:39 AM,62.148,60.990,,,
54,2/21/22 10:47:09 AM,62.148,60.947,,,
55,2/21/22 10:47:39 AM,62.105,60.947,,,
56,2/21/22 10:48:09 AM,62.105,60.947,,,
57,2/21/22 10:48:39 AM,62.105,60.904,,,
58,2/21/22 10:49:09 AM,62.105,60.904,,,
