"Plot Title: Experiment "
"#","Time, GMT-08:00","Temp, ¡ÆF","Temp, ¡ÆF","Host Connected","Stopped","End Of File"
1,2/7/22 12:06:23 PM,62.319,62.191,,,
2,2/7/22 12:06:53 PM,60.947,62.491,,,
3,2/7/22 12:07:23 PM,59.960,62.662,,,
4,2/7/22 12:07:53 PM,59.487,62.833,,,
5,2/7/22 12:08:23 PM,59.229,63.005,,,
6,2/7/22 12:08:53 PM,59.057,63.304,,,
7,2/7/22 12:09:23 PM,58.971,63.518,,,
8,2/7/22 12:09:53 PM,58.971,63.647,,,
9,2/7/22 12:10:23 PM,58.971,63.861,,,
10,2/7/22 12:10:53 PM,59.143,64.161,,,
11,2/7/22 12:11:23 PM,59.186,64.246,,,
12,2/7/22 12:11:53 PM,59.229,64.203,,,
13,2/7/22 12:12:23 PM,59.229,64.289,,,
14,2/7/22 12:12:53 PM,59.186,64.460,,,
15,2/7/22 12:13:23 PM,59.057,64.631,,,
16,2/7/22 12:13:53 PM,58.971,64.546,,,
17,2/7/22 12:14:23 PM,58.885,64.546,,,
18,2/7/22 12:14:53 PM,58.755,64.631,,,
19,2/7/22 12:15:23 PM,58.669,64.589,,,
20,2/7/22 12:15:53 PM,58.712,64.674,,,
21,2/7/22 12:16:23 PM,58.712,64.931,,,
22,2/7/22 12:16:53 PM,58.755,64.931,,,
23,2/7/22 12:17:23 PM,58.798,64.888,,,
24,2/7/22 12:17:53 PM,58.885,65.017,,,
25,2/7/22 12:18:23 PM,58.971,65.102,,,
26,2/7/22 12:18:53 PM,59.014,65.102,,,
27,2/7/22 12:19:23 PM,59.057,64.888,,,
28,2/7/22 12:19:53 PM,59.014,64.888,,,
29,2/7/22 12:20:23 PM,59.014,64.803,,,
30,2/7/22 12:20:53 PM,61.247,64.417,,,
31,2/7/22 12:21:23 PM,61.676,64.246,,,
32,2/7/22 12:21:53 PM,61.933,63.989,,,
33,2/7/22 12:22:23 PM,62.019,63.690,,,
34,2/7/22 12:22:53 PM,62.019,63.433,,,
35,2/7/22 12:23:23 PM,62.062,63.219,,,
36,2/7/22 12:23:53 PM,62.148,63.047,,,
37,2/7/22 12:24:23 PM,62.148,62.876,,,
38,2/7/22 12:24:53 PM,62.019,62.662,,,
39,2/7/22 12:25:23 PM,61.933,62.533,,,
40,2/7/22 12:25:53 PM,61.891,62.448,,,
41,2/7/22 12:26:23 PM,61.848,62.319,,,
42,2/7/22 12:26:53 PM,61.848,62.191,,,
43,2/7/22 12:27:23 PM,61.762,62.191,,,
44,2/7/22 12:27:53 PM,61.719,62.105,,,
45,2/7/22 12:28:23 PM,61.848,62.062,,,
46,2/7/22 12:28:53 PM,61.805,62.019,,,
47,2/7/22 12:29:23 PM,61.805,61.933,,,
48,2/7/22 12:29:53 PM,61.848,61.891,,,
49,2/7/22 12:30:23 PM,61.891,61.891,,,
50,2/7/22 12:30:53 PM,61.848,61.805,,,
51,2/7/22 12:31:23 PM,61.891,61.719,,,
52,2/7/22 12:31:53 PM,61.848,61.590,,,
53,2/7/22 12:32:23 PM,61.848,61.548,,,
54,2/7/22 12:32:53 PM,61.805,61.505,,,
55,2/7/22 12:33:23 PM,61.805,61.462,,,
56,2/7/22 12:33:53 PM,61.848,61.419,,,
57,2/7/22 12:34:23 PM,61.933,61.462,,,
58,2/7/22 12:34:53 PM,61.976,61.505,,,
59,2/7/22 12:35:23 PM,61.933,61.505,,,
60,2/7/22 12:35:53 PM,61.933,61.505,,,
61,2/7/22 12:36:23 PM,61.891,61.419,,,
62,2/7/22 12:36:53 PM,61.762,61.333,,,
63,2/7/22 12:37:23 PM,61.719,61.290,,,
64,2/7/22 12:37:53 PM,61.719,61.290,,,
65,2/7/22 12:38:23 PM,61.805,61.333,,,
66,2/7/22 12:38:53 PM,61.891,61.462,,,
67,2/7/22 12:39:23 PM,61.933,61.548,,,
68,2/7/22 12:39:53 PM,62.019,61.590,,,
69,2/7/22 12:40:23 PM,62.148,61.676,,,
70,2/7/22 12:40:53 PM,62.191,61.719,,,
71,2/7/22 12:41:23 PM,62.233,61.805,,,
72,2/7/22 12:41:53 PM,62.319,61.805,,,
73,2/7/22 12:42:23 PM,62.319,61.848,,,
74,2/7/22 12:42:53 PM,62.233,61.848,,,
75,2/7/22 12:43:23 PM,62.233,61.848,,,
76,2/7/22 12:43:53 PM,62.233,61.848,,,
77,2/7/22 12:44:23 PM,62.276,61.848,,,
78,2/7/22 12:44:53 PM,62.276,61.805,,,
79,2/7/22 12:45:23 PM,62.148,61.762,,,
80,2/7/22 12:45:53 PM,62.019,61.676,,,
81,2/7/22 12:46:23 PM,61.976,61.590,,,
82,2/7/22 12:46:53 PM,61.891,61.505,,,
83,2/7/22 12:47:23 PM,61.848,61.419,,,
84,2/7/22 12:47:53 PM,61.762,61.376,,,
85,2/7/22 12:48:23 PM,61.633,61.290,,,
86,2/7/22 12:48:53 PM,61.505,61.247,,,
87,2/7/22 12:49:23 PM,61.462,61.162,,,
88,2/7/22 12:49:53 PM,61.419,61.119,,,
89,2/7/22 12:50:23 PM,61.419,61.076,,,
90,2/7/22 12:50:53 PM,61.419,61.119,,,
91,2/7/22 12:51:23 PM,61.376,61.119,,,
92,2/7/22 12:51:53 PM,61.505,61.162,,,
93,2/7/22 12:52:23 PM,61.590,61.204,,,
94,2/7/22 12:52:53 PM,61.590,61.247,,,
95,2/7/22 12:53:23 PM,61.633,61.247,,,
96,2/7/22 12:53:53 PM,61.676,61.247,,,
97,2/7/22 12:54:23 PM,61.633,61.247,,,
98,2/7/22 12:54:53 PM,61.633,61.247,,,
99,2/7/22 12:55:23 PM,61.633,61.247,,,
100,2/7/22 12:55:53 PM,61.719,61.247,,,
101,2/7/22 12:56:23 PM,61.633,61.290,,,
102,2/7/22 12:56:53 PM,61.633,61.204,,,
103,2/7/22 12:57:23 PM,61.462,61.204,,,
104,2/7/22 12:57:53 PM,61.419,61.162,,,
105,2/7/22 12:58:23 PM,61.376,61.119,,,
106,2/7/22 12:58:53 PM,61.333,61.076,,,
107,2/7/22 12:59:23 PM,61.290,61.076,,,
108,2/7/22 12:59:53 PM,61.419,61.119,,,
109,2/7/22 1:00:23 PM,61.505,61.119,,,
110,2/7/22 1:00:53 PM,61.376,61.119,,,
111,2/7/22 1:01:23 PM,61.419,61.119,,,
112,2/7/22 1:01:53 PM,61.505,61.162,,,
113,2/7/22 1:02:23 PM,61.590,61.204,,,
114,2/7/22 1:02:53 PM,61.548,61.162,,,
