"Plot Title: Experiment "
"#","Time, GMT-08:00","Temp, ¡ÆF","Host Connected","Stopped","End Of File"
1,1/12/22 12:01:35 PM,74.683,,,
2,1/12/22 12:02:05 PM,75.724,,,
3,1/12/22 12:02:35 PM,76.158,,,
4,1/12/22 12:03:05 PM,76.463,,,
5,1/12/22 12:03:35 PM,76.419,,,
6,1/12/22 12:04:05 PM,76.332,,,
7,1/12/22 12:04:35 PM,76.289,,,
8,1/12/22 12:05:05 PM,76.245,,,
9,1/12/22 12:05:35 PM,76.115,,,
10,1/12/22 12:06:05 PM,76.028,,,
11,1/12/22 12:06:35 PM,75.985,,,
12,1/12/22 12:07:05 PM,75.898,,,
13,1/12/22 12:07:35 PM,75.898,,,
14,1/12/22 12:08:05 PM,75.767,,,
15,1/12/22 12:08:35 PM,75.637,,,
16,1/12/22 12:09:05 PM,75.594,,,
17,1/12/22 12:09:35 PM,75.681,,,
18,1/12/22 12:10:05 PM,75.681,,,
19,1/12/22 12:10:35 PM,75.681,,,
20,1/12/22 12:11:05 PM,75.637,,,
21,1/12/22 12:11:35 PM,75.724,,,
22,1/12/22 12:12:05 PM,75.681,,,
23,1/12/22 12:12:35 PM,75.594,,,
24,1/12/22 12:13:05 PM,75.594,,,
25,1/12/22 12:13:35 PM,75.637,,,
26,1/12/22 12:14:05 PM,75.594,,,
27,1/12/22 12:14:35 PM,75.594,,,
28,1/12/22 12:15:05 PM,75.594,,,
29,1/12/22 12:15:35 PM,75.464,,,
30,1/12/22 12:16:05 PM,75.464,,,
31,1/12/22 12:16:35 PM,75.464,,,
32,1/12/22 12:17:05 PM,75.420,,,
33,1/12/22 12:17:35 PM,75.420,,,
34,1/12/22 12:18:05 PM,75.420,,,
35,1/12/22 12:18:35 PM,75.377,,,
36,1/12/22 12:19:05 PM,75.420,,,
37,1/12/22 12:19:35 PM,75.464,,,
38,1/12/22 12:20:05 PM,75.507,,,
39,1/12/22 12:20:35 PM,75.507,,,
40,1/12/22 12:21:05 PM,75.464,,,
41,1/12/22 12:21:35 PM,75.464,,,
42,1/12/22 12:22:05 PM,75.464,,,
43,1/12/22 12:22:35 PM,75.507,,,
44,1/12/22 12:23:05 PM,75.507,,,
45,1/12/22 12:23:35 PM,75.507,,,
46,1/12/22 12:24:05 PM,75.507,,,
47,1/12/22 12:24:35 PM,75.550,,,
48,1/12/22 12:25:05 PM,75.550,,,
49,1/12/22 12:25:35 PM,75.550,,,
50,1/12/22 12:26:05 PM,75.637,,,
51,1/12/22 12:26:35 PM,75.637,,,
52,1/12/22 12:27:05 PM,75.594,,,
53,1/12/22 12:27:35 PM,75.637,,,
54,1/12/22 12:28:05 PM,75.637,,,
55,1/12/22 12:28:35 PM,75.550,,,
56,1/12/22 12:29:05 PM,75.550,,,
57,1/12/22 12:29:35 PM,75.507,,,
58,1/12/22 12:30:05 PM,75.507,,,
59,1/12/22 12:30:35 PM,75.550,,,
60,1/12/22 12:31:05 PM,75.637,,,
61,1/12/22 12:31:35 PM,75.637,,,
62,1/12/22 12:32:05 PM,75.767,,,
63,1/12/22 12:32:35 PM,75.681,,,
64,1/12/22 12:33:05 PM,75.681,,,
65,1/12/22 12:33:35 PM,75.637,,,
66,1/12/22 12:34:05 PM,75.637,,,
67,1/12/22 12:34:35 PM,75.637,,,
68,1/12/22 12:35:05 PM,75.681,,,
69,1/12/22 12:35:35 PM,75.637,,,
70,1/12/22 12:36:05 PM,75.637,,,
71,1/12/22 12:36:35 PM,75.637,,,
