"Plot Title: Experiment "
"#","Time, GMT-08:00","Temp, ¡ÆF","Host Connected","End Of File"
1,1/9/22 11:47:01 AM,81.421,,
2,1/9/22 11:47:04 AM,,Logged,
3,1/9/22 11:47:31 AM,81.332,,
4,1/9/22 11:48:01 AM,81.022,,
5,1/9/22 11:48:31 AM,80.801,,
6,1/9/22 11:49:01 AM,80.581,,
7,1/9/22 11:49:31 AM,80.448,,
8,1/9/22 11:50:01 AM,80.272,,
9,1/9/22 11:50:31 AM,80.096,,
10,1/9/22 11:51:01 AM,80.008,,
11,1/9/22 11:51:31 AM,79.876,,
12,1/9/22 11:52:01 AM,79.788,,
13,1/9/22 11:52:31 AM,79.700,,
14,1/9/22 11:53:01 AM,79.656,,
15,1/9/22 11:53:31 AM,79.612,,
16,1/9/22 11:54:01 AM,79.568,,
17,1/9/22 11:54:31 AM,79.568,,
18,1/9/22 11:55:01 AM,79.568,,
19,1/9/22 11:55:31 AM,79.480,,
20,1/9/22 11:56:01 AM,79.436,,
21,1/9/22 11:56:31 AM,79.436,,
22,1/9/22 11:57:01 AM,79.436,,
23,1/9/22 11:57:31 AM,79.920,,
24,1/9/22 11:58:01 AM,80.096,,
25,1/9/22 11:58:31 AM,80.228,,
26,1/9/22 11:59:01 AM,80.404,,
27,1/9/22 11:59:31 AM,80.404,,
28,1/9/22 12:00:01 PM,80.316,,
29,1/9/22 12:00:31 PM,80.272,,
30,1/9/22 12:01:01 PM,80.272,,
31,1/9/22 12:01:31 PM,80.272,,
32,1/9/22 12:02:01 PM,80.316,,
33,1/9/22 12:02:31 PM,80.316,,
34,1/9/22 12:03:01 PM,80.272,,
35,1/9/22 12:03:31 PM,80.272,,
36,1/9/22 12:04:01 PM,80.272,,
37,1/9/22 12:04:31 PM,80.272,,
38,1/9/22 12:05:01 PM,80.272,,
39,1/9/22 12:05:31 PM,80.272,,
40,1/9/22 12:06:01 PM,80.272,,
41,1/9/22 12:06:31 PM,80.272,,
42,1/9/22 12:07:01 PM,80.316,,
43,1/9/22 12:07:31 PM,80.316,,
44,1/9/22 12:08:01 PM,80.316,,
45,1/9/22 12:08:31 PM,80.360,,
46,1/9/22 12:09:01 PM,80.360,,
47,1/9/22 12:09:31 PM,80.360,,
48,1/9/22 12:10:01 PM,80.404,,
49,1/9/22 12:10:31 PM,80.448,,
50,1/9/22 12:11:01 PM,80.404,,
51,1/9/22 12:11:31 PM,80.360,,
52,1/9/22 12:12:01 PM,80.360,,
53,1/9/22 12:12:31 PM,80.404,,
54,1/9/22 12:13:01 PM,80.360,,
55,1/9/22 12:13:31 PM,80.360,,
56,1/9/22 12:14:01 PM,80.404,,
57,1/9/22 12:14:31 PM,80.360,,
58,1/9/22 12:15:01 PM,80.360,,
59,1/9/22 12:15:31 PM,80.360,,
60,1/9/22 12:16:01 PM,80.360,,
61,1/9/22 12:16:31 PM,80.316,,
62,1/9/22 12:17:01 PM,80.404,,
63,1/9/22 12:17:31 PM,80.448,,
64,1/9/22 12:18:01 PM,80.404,,
65,1/9/22 12:18:31 PM,80.404,,
66,1/9/22 12:19:01 PM,80.404,,
67,1/9/22 12:19:31 PM,80.448,,
68,1/9/22 12:20:01 PM,80.448,,
69,1/9/22 12:20:31 PM,80.448,,
70,1/9/22 12:21:01 PM,80.448,,
71,1/9/22 12:21:31 PM,80.448,,
72,1/9/22 12:22:01 PM,80.448,,
73,1/9/22 12:22:31 PM,80.448,,
74,1/9/22 12:23:01 PM,80.360,,
75,1/9/22 12:23:31 PM,80.360,,
